iter	Passed	Remaining
0	164	164501
1	255	127356
2	332	110577
3	406	101315
4	472	93975
5	531	87971
6	583	82720
7	643	79780
8	692	76221
9	746	73877
10	823	74083
11	882	72663
12	940	71381
13	1002	70604
14	1078	70838
15	1150	70748
16	1269	73429
17	1399	76363
18	1465	75645
19	1539	75423
20	1604	74804
21	1677	74567
22	1766	75020
23	1830	74425
24	1896	73956
25	1988	74483
26	2081	74998
27	2146	74514
28	2223	74463
29	2315	74862
30	2394	74844
31	2455	74280
32	2511	73602
33	2590	73614
34	2688	74136
35	2775	74322
36	2861	74464
37	2958	74901
38	3029	74654
39	3097	74328
40	3182	74437
41	3255	74259
42	3324	73991
43	3385	73565
44	3508	74449
45	3593	74527
46	3660	74232
47	3728	73952
48	3837	74481
49	3891	73943
50	3958	73660
51	4035	73578
52	4104	73343
53	4170	73067
54	4224	72585
55	4311	72682
56	4391	72647
57	4458	72416
58	4513	71994
59	4595	71993
60	4660	71745
61	4782	72360
62	4866	72375
63	4943	72299
64	5044	72557
65	5112	72348
66	5197	72379
67	5282	72401
68	5344	72113
69	5409	71874
70	5473	71619
71	5566	71743
72	5656	71825
73	5763	72126
74	5844	72080
75	5933	72144
76	6036	72354
77	6108	72208
78	6191	72185
79	6274	72156
80	6325	71771
81	6401	71667
82	6487	71680
83	6551	71441
84	6634	71415
85	6744	71675
86	6857	71968
87	6923	71753
88	6998	71641
89	7136	72154
90	7220	72124
91	7301	72066
92	7392	72097
93	7502	72307
94	7591	72316
95	7676	72282
96	7796	72582
97	7902	72736
98	7986	72685
99	8042	72380
100	8110	72192
101	8223	72397
102	8301	72294
103	8427	72602
104	8492	72386
105	8630	72790
106	8694	72563
107	8796	72651
108	8860	72432
109	8946	72388
110	9063	72588
111	9172	72728
112	9218	72360
113	9279	72120
114	9375	72147
115	9466	72137
116	9541	72010
117	9616	71881
118	9675	71631
119	9806	71913
120	9861	71641
121	9918	71377
122	9976	71134
123	10056	71044
124	10110	70770
125	10196	70728
126	10257	70512
127	10313	70258
128	10367	70001
129	10437	69853
130	10486	69561
131	10571	69518
132	10648	69418
133	10735	69379
134	10813	69283
135	10895	69215
136	11000	69292
137	11085	69242
138	11145	69038
139	11231	68993
140	11336	69064
141	11402	68895
142	11510	68979
143	11583	68857
144	11653	68714
145	11734	68637
146	11845	68737
147	11915	68592
148	11990	68481
149	12066	68377
150	12143	68279
151	12228	68222
152	12321	68211
153	12455	68425
154	12508	68192
155	12563	67973
156	12609	67707
157	12659	67464
158	12737	67374
159	12839	67405
160	13011	67805
161	13101	67771
162	13188	67722
163	13252	67554
164	13310	67357
165	13357	67108
166	13412	66901
167	13493	66825
168	13541	66587
169	13604	66422
170	13726	66543
171	13789	66380
172	13838	66151
173	13900	65988
174	13952	65775
175	14031	65694
176	14119	65651
177	14186	65513
178	14254	65381
179	14337	65315
180	14395	65137
181	14451	64954
182	14540	64914
183	14597	64734
184	14662	64592
185	14753	64568
186	14832	64485
187	14914	64417
188	14992	64332
189	15090	64332
190	15164	64230
191	15235	64117
192	15285	63912
193	15381	63905
194	15460	63822
195	15534	63723
196	15593	63560
197	15643	63363
198	15698	63189
199	15766	63067
200	15836	62952
201	15921	62896
202	15977	62730
203	16093	62797
204	16235	62963
205	16302	62836
206	16389	62787
207	16455	62659
208	16523	62535
209	16591	62414
210	16650	62262
211	16712	62118
212	16811	62114
213	16958	62286
214	17035	62197
215	17095	62048
216	17172	61964
217	17236	61830
218	17339	61836
219	17402	61698
220	17455	61529
221	17506	61351
222	17584	61269
223	17658	61173
224	17748	61132
225	17803	60974
226	17861	60822
227	17924	60692
228	17982	60543
229	18054	60442
230	18128	60349
231	18211	60286
232	18258	60104
233	18318	59964
234	18374	59815
235	18467	59785
236	18546	59707
237	18609	59580
238	18663	59426
239	18728	59307
240	18801	59213
241	18861	59078
242	18926	58958
243	18992	58845
244	19076	58785
245	19129	58631
246	19195	58519
247	19258	58395
248	19314	58252
249	19376	58129
250	19446	58028
251	19499	57880
252	19555	57740
253	19634	57665
254	19750	57703
255	19830	57633
256	19897	57524
257	19995	57505
258	20074	57434
259	20171	57410
260	20231	57282
261	20326	57255
262	20394	57151
263	20498	57147
264	20552	57004
265	20615	56887
266	20686	56790
267	20755	56689
268	20807	56545
269	20857	56391
270	20923	56284
271	20990	56179
272	21054	56067
273	21129	55984
274	21219	55943
275	21298	55871
276	21385	55819
277	21455	55723
278	21513	55595
279	21616	55585
280	21702	55530
281	21762	55409
282	21828	55303
283	21891	55192
284	21979	55141
285	22035	55011
286	22126	54969
287	22180	54835
288	22231	54694
289	22288	54567
290	22366	54493
291	22422	54365
292	22503	54299
293	22555	54164
294	22630	54083
295	22701	53991
296	22768	53892
297	22853	53836
298	22936	53773
299	23027	53731
300	23133	53721
301	23188	53594
302	23242	53464
303	23322	53396
304	23381	53278
305	23429	53136
306	23479	53001
307	23543	52895
308	23606	52790
309	23696	52744
310	23763	52645
311	23836	52563
312	23907	52473
313	23973	52375
314	24017	52227
315	24086	52136
316	24128	51986
317	24171	51840
318	24210	51684
319	24254	51539
320	24305	51413
321	24353	51278
322	24414	51171
323	24470	51056
324	24524	50935
325	24571	50801
326	24634	50699
327	24714	50635
328	24813	50607
329	24894	50542
330	24958	50444
331	25029	50360
332	25094	50264
333	25178	50205
334	25235	50094
335	25313	50023
336	25366	49904
337	25436	49818
338	25522	49765
339	25581	49659
340	25635	49542
341	25715	49475
342	25760	49343
343	25830	49257
344	25918	49206
345	25971	49090
346	26044	49010
347	26108	48915
348	26153	48784
349	26197	48651
350	26253	48542
351	26343	48496
352	26430	48443
353	26477	48316
354	26551	48241
355	26612	48142
356	26666	48029
357	26727	47930
358	26803	47858
359	26880	47787
360	26939	47685
361	26987	47563
362	27067	47498
363	27135	47413
364	27185	47295
365	27252	47207
366	27317	47116
367	27417	47085
368	27488	47006
369	27570	46944
370	27633	46850
371	27720	46796
372	27780	46698
373	27860	46633
374	27953	46589
375	28031	46520
376	28087	46414
377	28174	46361
378	28316	46396
379	28365	46281
380	28415	46166
381	28469	46058
382	28535	45970
383	28598	45876
384	28685	45822
385	28769	45763
386	28847	45693
387	28913	45605
388	28995	45543
389	29060	45452
390	29118	45353
391	29167	45239
392	29256	45186
393	29335	45119
394	29400	45031
395	29469	44947
396	29517	44833
397	29594	44763
398	29657	44672
399	29742	44614
400	29836	44568
401	29887	44459
402	29961	44384
403	30011	44274
404	30084	44198
405	30147	44107
406	30207	44013
407	30257	43903
408	30314	43804
409	30378	43714
410	30428	43607
411	30498	43527
412	30562	43439
413	30638	43367
414	30698	43273
415	30759	43181
416	30834	43109
417	30910	43038
418	30994	42978
419	31057	42888
420	31110	42786
421	31193	42724
422	31254	42633
423	31313	42538
424	31369	42440
425	31445	42370
426	31496	42265
427	31564	42184
428	31611	42074
429	31665	41974
430	31726	41884
431	31778	41783
432	31842	41696
433	31903	41606
434	31997	41559
435	32050	41459
436	32107	41365
437	32166	41273
438	32225	41181
439	32286	41091
440	32353	41009
441	32419	40927
442	32480	40838
443	32533	40739
444	32602	40661
445	32680	40594
446	32755	40523
447	32805	40420
448	32886	40357
449	32973	40301
450	33029	40206
451	33092	40120
452	33152	40031
453	33231	39965
454	33289	39873
455	33364	39802
456	33436	39729
457	33483	39625
458	33544	39536
459	33604	39449
460	33677	39375
461	33720	39268
462	33772	39170
463	33837	39088
464	33896	38999
465	33951	38905
466	34037	38848
467	34104	38768
468	34152	38667
469	34216	38584
470	34269	38489
471	34316	38388
472	34382	38308
473	34456	38236
474	34535	38170
475	34603	38092
476	34675	38019
477	34727	37924
478	34810	37863
479	34868	37774
480	34922	37681
481	34999	37613
482	35051	37518
483	35132	37455
484	35188	37364
485	35250	37280
486	35300	37184
487	35357	37096
488	35433	37027
489	35489	36937
490	35558	36862
491	35624	36783
492	35703	36717
493	35771	36640
494	35833	36556
495	35921	36500
496	35975	36409
497	36029	36319
498	36104	36249
499	36196	36196
500	36282	36137
501	36353	36063
502	36402	35968
503	36450	35871
504	36529	35806
505	36593	35725
506	36646	35634
507	36738	35580
508	36809	35507
509	36859	35414
510	36936	35345
511	36994	35260
512	37084	35205
513	37138	35115
514	37209	35042
515	37277	34965
516	37353	34897
517	37417	34817
518	37512	34766
519	37622	34728
520	37709	34669
521	37785	34600
522	37840	34512
523	37912	34440
524	37991	34373
525	38059	34296
526	38120	34214
527	38178	34128
528	38232	34040
529	38307	33971
530	38397	33914
531	38458	33831
532	38525	33755
533	38595	33680
534	38660	33602
535	38729	33526
536	38802	33455
537	38850	33362
538	38905	33275
539	38964	33192
540	39017	33103
541	39081	33024
542	39156	32954
543	39225	32880
544	39279	32792
545	39333	32705
546	39413	32640
547	39474	32559
548	39543	32484
549	39604	32403
550	39695	32347
551	39766	32274
552	39833	32198
553	39882	32107
554	39956	32037
555	40004	31946
556	40080	31877
557	40138	31794
558	40204	31717
559	40257	31631
560	40337	31565
561	40397	31484
562	40467	31410
563	40540	31339
564	40585	31246
565	40652	31172
566	40709	31088
567	40764	31003
568	40821	30921
569	40884	30842
570	40933	30753
571	40980	30663
572	41030	30575
573	41097	30500
574	41139	30407
575	41193	30322
576	41250	30240
577	41312	30162
578	41367	30079
579	41425	29998
580	41495	29925
581	41561	29849
582	41625	29773
583	41702	29706
584	41776	29636
585	41848	29565
586	41916	29491
587	41981	29415
588	42035	29332
589	42103	29258
590	42171	29185
591	42241	29112
592	42294	29028
